,year,unisex,female,male,total,high_rated,cum_total,cum_perc
25,2025,2668,735,365,3768,2352,3768,3.4854679666253494
24,2024,5725,1686,874,8285,6077,12053,11.149242410227
23,2023,4493,1534,867,6894,5111,18947,17.526316763176883
22,2022,4278,1427,826,6531,5077,25478,23.567609568386583
21,2021,3652,1527,829,6008,4628,31486,29.125117939799825
20,2020,3414,1487,852,5753,4382,37239,34.44674671156088
19,2019,3131,1638,732,5501,4559,42740,39.53527093778329
18,2018,2782,1571,819,5172,4264,47912,44.31946422955247
17,2017,2515,1503,710,4728,3767,52640,48.6929495125155
16,2016,2281,1372,609,4262,3568,56902,52.6353763898396
15,2015,1926,1569,685,4180,3446,61082,56.50195178805987
14,2014,1441,1506,625,3572,2911,64654,59.80611621926628
13,2013,1020,1370,521,2911,2447,67565,62.49884372745269
12,2012,839,1379,458,2676,2277,70241,64.97419199674394
11,2011,558,1168,420,2146,1860,72387,66.95928070597377
10,2010,726,1179,432,2337,1980,74724,69.12104786043328
9,2009,393,912,321,1626,1405,76350,70.6251271899802
8,2008,328,893,303,1524,1298,77874,72.03485467966625
7,2007,201,743,253,1197,1066,79071,73.14210127097478
6,2006,177,556,211,944,852,80015,74.01531829870683
5,2005,139,386,163,688,620,80703,74.65173070874881
4,2004,99,363,151,613,557,81316,75.21876676595194
3,2003,86,331,146,563,501,81879,75.73955192126246
2,2002,68,207,115,390,369,82269,76.10030895602465
1,2001,40,254,105,399,357,82668,76.46939115312749
0,2000,282,690,225,1197,1029,83865,77.57663774443601
